Provided by Dr. Julie Moses of SSI in July 2023, her file designation pzuran15lat3n.out.
Atmosphere measured from 1-bar level at equator. 
   N    ALT(KM)      T(K)      DEN(CM-3)  PRESS(MBAR)  G(CM S-2)     H(KM)     K(CM2 S-1)  BMASS(AMU)
 120   7.011E+02   3.547E+02   9.167E+12   4.489E-04   8.188E+02   1.550E+02   1.692E+07   2.324E+00
 121   7.229E+02   3.735E+02   7.588E+12   3.913E-04   8.173E+02   1.635E+02   1.887E+07   2.324E+00
 122   7.459E+02   3.924E+02   6.297E+12   3.411E-04   8.158E+02   1.721E+02   2.103E+07   2.324E+00
 123   7.701E+02   4.112E+02   5.238E+12   2.973E-04   8.143E+02   1.807E+02   2.339E+07   2.324E+00
 124   7.955E+02   4.301E+02   4.365E+12   2.592E-04   8.126E+02   1.894E+02   2.599E+07   2.324E+00
 125   8.218E+02   4.375E+02   3.740E+12   2.259E-04   8.109E+02   1.931E+02   2.842E+07   2.324E+00
 126   8.484E+02   4.416E+02   3.230E+12   1.969E-04   8.092E+02   1.953E+02   3.094E+07   2.324E+00
 127   8.754E+02   4.457E+02   2.790E+12   1.717E-04   8.074E+02   1.975E+02   3.367E+07   2.324E+00
 128   9.027E+02   4.498E+02   2.410E+12   1.496E-04   8.057E+02   1.998E+02   3.665E+07   2.324E+00
 129   9.302E+02   4.539E+02   2.081E+12   1.304E-04   8.039E+02   2.021E+02   3.988E+07   2.324E+00
 130   9.581E+02   4.579E+02   1.798E+12   1.137E-04   8.021E+02   2.043E+02   4.340E+07   2.324E+00
 131   9.863E+02   4.620E+02   1.554E+12   9.911E-05   8.003E+02   2.066E+02   4.722E+07   2.324E+00
 132   1.015E+03   4.662E+02   1.342E+12   8.639E-05   7.985E+02   2.089E+02   5.138E+07   2.324E+00
 133   1.044E+03   4.704E+02   1.159E+12   7.530E-05   7.967E+02   2.113E+02   5.591E+07   2.324E+00
 134   1.073E+03   4.746E+02   1.002E+12   6.564E-05   7.949E+02   2.137E+02   6.082E+07   2.324E+00
 135   1.102E+03   4.788E+02   8.656E+11   5.722E-05   7.930E+02   2.161E+02   6.616E+07   2.324E+00
 136   1.132E+03   4.829E+02   7.480E+11   4.987E-05   7.911E+02   2.185E+02   7.197E+07   2.324E+00
 137   1.162E+03   4.871E+02   6.464E+11   4.347E-05   7.893E+02   2.209E+02   7.828E+07   2.324E+00
 138   1.193E+03   4.913E+02   5.587E+11   3.790E-05   7.874E+02   2.233E+02   8.513E+07   2.324E+00
 139   1.224E+03   4.954E+02   4.829E+11   3.303E-05   7.854E+02   2.257E+02   9.257E+07   2.324E+00
 140   1.255E+03   4.996E+02   4.174E+11   2.879E-05   7.835E+02   2.282E+02   1.007E+08   2.324E+00
 141   1.286E+03   5.038E+02   3.608E+11   2.510E-05   7.816E+02   2.307E+02   1.094E+08   2.324E+00
 142   1.318E+03   5.080E+02   3.119E+11   2.188E-05   7.796E+02   2.332E+02   1.190E+08   2.324E+00
 143   1.350E+03   5.122E+02   2.697E+11   1.907E-05   7.777E+02   2.357E+02   1.293E+08   2.324E+00
 144   1.383E+03   5.164E+02   2.332E+11   1.662E-05   7.757E+02   2.382E+02   1.405E+08   2.324E+00
 145   1.416E+03   5.205E+02   2.016E+11   1.449E-05   7.737E+02   2.408E+02   1.527E+08   2.324E+00
 146   1.449E+03   5.247E+02   1.744E+11   1.263E-05   7.717E+02   2.433E+02   1.659E+08   2.324E+00
 147   1.483E+03   5.289E+02   1.508E+11   1.101E-05   7.696E+02   2.459E+02   1.802E+08   2.324E+00
 148   1.516E+03   5.330E+02   1.304E+11   9.598E-06   7.676E+02   2.485E+02   1.957E+08   2.324E+00
 149   1.551E+03   5.372E+02   1.128E+11   8.366E-06   7.656E+02   2.511E+02   2.126E+08   2.324E+00
 150   1.585E+03   5.414E+02   9.756E+10   7.293E-06   7.635E+02   2.538E+02   2.308E+08   2.324E+00
 151   1.620E+03   5.456E+02   8.439E+10   6.357E-06   7.614E+02   2.564E+02   2.505E+08   2.324E+00
 152   1.656E+03   5.498E+02   7.300E+10   5.541E-06   7.593E+02   2.591E+02   2.719E+08   2.324E+00
 153   1.692E+03   5.539E+02   6.316E+10   4.830E-06   7.572E+02   2.618E+02   2.951E+08   2.324E+00
 154   1.728E+03   5.581E+02   5.464E+10   4.210E-06   7.551E+02   2.645E+02   3.201E+08   2.324E+00
 155   1.764E+03   5.622E+02   4.728E+10   3.670E-06   7.530E+02   2.672E+02   3.471E+08   2.324E+00
 156   1.801E+03   5.664E+02   4.091E+10   3.199E-06   7.508E+02   2.700E+02   3.764E+08   2.324E+00
 157   1.838E+03   5.705E+02   3.540E+10   2.788E-06   7.486E+02   2.727E+02   4.080E+08   2.324E+00
 158   1.876E+03   5.746E+02   3.064E+10   2.431E-06   7.465E+02   2.755E+02   4.421E+08   2.324E+00
 159   1.914E+03   5.788E+02   2.651E+10   2.119E-06   7.443E+02   2.783E+02   4.789E+08   2.324E+00
 160   1.952E+03   5.829E+02   2.295E+10   1.847E-06   7.421E+02   2.811E+02   5.186E+08   2.324E+00
 161   1.991E+03   5.871E+02   1.986E+10   1.610E-06   7.399E+02   2.840E+02   5.613E+08   2.324E+00
 162   2.030E+03   5.912E+02   1.719E+10   1.403E-06   7.376E+02   2.869E+02   6.074E+08   2.324E+00
 163   2.070E+03   5.954E+02   1.488E+10   1.223E-06   7.354E+02   2.897E+02   6.569E+08   2.324E+00
 164   2.110E+03   5.995E+02   1.288E+10   1.066E-06   7.332E+02   2.927E+02   7.102E+08   2.324E+00
 165   2.150E+03   6.037E+02   1.115E+10   9.295E-07   7.309E+02   2.956E+02   7.674E+08   2.324E+00
 166   2.191E+03   6.078E+02   9.654E+09   8.102E-07   7.286E+02   2.986E+02   8.288E+08   2.324E+00
 167   2.232E+03   6.120E+02   8.358E+09   7.062E-07   7.263E+02   3.015E+02   8.946E+08   2.324E+00
 168   2.274E+03   6.161E+02   7.237E+09   6.156E-07   7.240E+02   3.046E+02   9.651E+08   2.324E+00
 169   2.316E+03   6.203E+02   6.266E+09   5.366E-07   7.217E+02   3.076E+02   1.040E+09   2.324E+00
 170   2.358E+03   6.245E+02   5.425E+09   4.677E-07   7.194E+02   3.107E+02   1.121E+09   2.324E+00
 171   2.401E+03   6.286E+02   4.698E+09   4.077E-07   7.170E+02   3.137E+02   1.207E+09   2.324E+00
 172   2.444E+03   6.328E+02   4.068E+09   3.554E-07   7.147E+02   3.169E+02   1.298E+09   2.324E+00
 173   2.488E+03   6.369E+02   3.523E+09   3.098E-07   7.123E+02   3.200E+02   1.395E+09   2.324E+00
 174   2.532E+03   6.411E+02   3.051E+09   2.701E-07   7.099E+02   3.232E+02   1.499E+09   2.324E+00
 175   2.577E+03   6.452E+02   2.642E+09   2.354E-07   7.075E+02   3.264E+02   1.608E+09   2.324E+00
 176   2.622E+03   6.494E+02   2.289E+09   2.052E-07   7.051E+02   3.296E+02   1.724E+09   2.324E+00
 177   2.667E+03   6.535E+02   1.982E+09   1.789E-07   7.027E+02   3.328E+02   1.846E+09   2.324E+00
 178   2.713E+03   6.577E+02   1.717E+09   1.559E-07   7.003E+02   3.361E+02   1.975E+09   2.324E+00
 179   2.760E+03   6.618E+02   1.487E+09   1.359E-07   6.979E+02   3.394E+02   2.110E+09   2.324E+00
 180   2.806E+03   6.660E+02   1.288E+09   1.185E-07   6.954E+02   3.428E+02   2.252E+09   2.324E+00
 181   2.854E+03   6.701E+02   1.116E+09   1.033E-07   6.929E+02   3.461E+02   2.400E+09   2.324E+00
