Based on edl_traj_161024_DAC1_LaRC_MC_v2 Nominal Atmosphere								
Altitude referenced to 1 bar at equator: 60268 km								
								
"Altitude, km"		"Temp, deg K"		"Pressure, bars"		"Pressure, hPa"		"Density, kg/m3"
107.14		90.450		6.4460E-02		64.460		1.945210E-02
106.68		90.170		6.5300E-02		65.300		1.976540E-02
106.23		89.900		6.6150E-02		66.150		2.008410E-02
106.19		89.880		6.6220E-02		66.220		2.010980E-02
105.77		89.630		6.7010E-02		67.010		2.040730E-02
105.32		89.360		6.7880E-02		67.880		2.073380E-02
105.28		89.340		6.7950E-02		67.950		2.076000E-02
104.88		89.090		6.8730E-02		68.730		2.105520E-02
104.47		88.850		6.9540E-02		69.540		2.136160E-02
104.08		88.610		7.0310E-02		70.310		2.165550E-02
103.71		88.390		7.1060E-02		71.060		2.194190E-02
103.35		88.170		7.1800E-02		71.800		2.222460E-02
103.33		88.150		7.1860E-02		71.860		2.224680E-02
103.02		87.970		7.2500E-02		72.500		2.249560E-02
102.71		87.770		7.3170E-02		73.170		2.275220E-02
102.41		87.590		7.3800E-02		73.800		2.299690E-02
102.13		87.420		7.4410E-02		74.410		2.323170E-02
101.86		87.250		7.4990E-02		74.990		2.345800E-02
101.61		87.100		7.5550E-02		75.550		2.367720E-02
101.36		86.940		7.6100E-02		76.100		2.389040E-02
101.12		86.800		7.6630E-02		76.630		2.409850E-02
100.89		86.650		7.7160E-02		77.160		2.430220E-02
100.66		86.510		7.7670E-02		77.670		2.450220E-02
100.64		86.500		7.7710E-02		77.710		2.451800E-02
100.44		86.380		7.8170E-02		78.170		2.469900E-02
100.22		86.240		7.8660E-02		78.660		2.489330E-02
100.01		86.110		7.9150E-02		79.150		2.508530E-02
99.80		86.030		7.9640E-02		79.640		2.526440E-02
99.60		86.000		8.0130E-02		80.130		2.542710E-02
99.39		85.970		8.0610E-02		80.610		2.558860E-02
99.19		85.950		8.1090E-02		81.090		2.574910E-02
99.00		85.920		8.1570E-02		81.570		2.590880E-02
98.80		85.890		8.2040E-02		82.040		2.606780E-02
98.61		85.870		8.2520E-02		82.520		2.622630E-02
98.41		85.840		8.2990E-02		82.990		2.638440E-02
98.22		85.820		8.3460E-02		83.460		2.654230E-02
98.03		85.790		8.3930E-02		83.930		2.670010E-02
97.85		85.770		8.4400E-02		84.400		2.685780E-02
97.66		85.740		8.4870E-02		84.870		2.701550E-02
97.47		85.720		8.5340E-02		85.340		2.717330E-02
97.29		85.690		8.5820E-02		85.820		2.733120E-02
97.10		85.670		8.6290E-02		86.290		2.748930E-02
96.92		85.640		8.6760E-02		86.760		2.764770E-02
96.73		85.620		8.7230E-02		87.230		2.780630E-02
96.55		85.590		8.7710E-02		87.710		2.796520E-02
96.37		85.570		8.8180E-02		88.180		2.812450E-02
96.19		85.540		8.8660E-02		88.660		2.828420E-02
96.01		85.520		8.9130E-02		89.130		2.844420E-02
95.83		85.500		8.9610E-02		89.610		2.860550E-02
